Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Absorbency level (product.metafields.shopify.absorbency-level),Accessory size (product.metafields.shopify.accessory-size),Age group (product.metafields.shopify.age-group),Attachment type (product.metafields.shopify.attachment-type),Bedding size (product.metafields.shopify.bedding-size),Body area (product.metafields.shopify.body-area),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Compatible patient profile (product.metafields.shopify.compatible-patient-profile),Control type (product.metafields.shopify.control-type),Diaper size (product.metafields.shopify.diaper-size),Diaper type (product.metafields.shopify.diaper-type),Display technology (product.metafields.shopify.display-technology),Disposable glove features (product.metafields.shopify.disposable-glove-features),Evaporation technology (product.metafields.shopify.evaporation-technology),Fabric (product.metafields.shopify.fabric),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Handwear material (product.metafields.shopify.handwear-material),Material (product.metafields.shopify.material),Mobility/Accessibility equipment features (product.metafields.shopify.mobility-accessibility-equipment-features),Mounting type (product.metafields.shopify.mounting-type),Nebulizer design (product.metafields.shopify.nebulizer-design),Nebulizer technology (product.metafields.shopify.nebulizer-technology),Power source (product.metafields.shopify.power-source),Size (product.metafields.shopify.size),Stair lifts control type (product.metafields.shopify.stair-lifts-control-type),Staircase type (product.metafields.shopify.staircase-type),Support/Brace material (product.metafields.shopify.support-brace-material),Target gender (product.metafields.shopify.target-gender),Temperature measurement (product.metafields.shopify.temperature-measurement),Test sample (product.metafields.shopify.test-sample),Transfer boards surface type (product.metafields.shopify.transfer-boards-surface-type),Treatment objective (product.metafields.shopify.treatment-objective),Usage type (product.metafields.shopify.usage-type),Wheelchair type (product.metafields.shopify.wheelchair-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
recliner-wheelchair-with-commode-toilet-pot-foldable-reclining-wheelchair-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/35inch_39.jpg?v=1763102354,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recliner-wheelchair-with-commode-toilet-pot-foldable-reclining-wheelchair-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/35inch_40.jpg?v=1763102354,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recliner-wheelchair-with-commode-toilet-pot-foldable-reclining-wheelchair-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/35inch_41.jpg?v=1763102577,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recliner-wheelchair-with-commode-toilet-pot-foldable-reclining-wheelchair-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/35inch_38.jpg?v=1763102577,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recliner-wheelchair-with-commode-toilet-pot-foldable-reclining-wheelchair-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/Wheelchair_1_81d7d1cc-104d-47a8-8661-b00931c2a03a.jpg?v=1763102577,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recliner-wheelchair-with-commode-toilet-pot-foldable-reclining-wheelchair-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/Wheelchair_4c037868-0da4-47db-a0a5-4c17f475975c.jpg?v=1763102577,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commode-wheelchair-u-cut-seat-powder-coated-foldable-wheelchair,Commode Wheelchair U cut seat - Powder Coated Foldable Wheelchair 609U-PC,"<h3 data-start=""62"" data-end=""82""><strong data-start=""66"" data-end=""82"">Key Features</strong></h3>
<ul>
<li data-start=""83"" data-end=""183"">
<p data-start=""85"" data-end=""183""><strong data-start=""85"" data-end=""109"">Portable Potty Seat:</strong> Can be used beside the bed, in the living room, or anywhere convenient.</p>
</li>
<li data-start=""184"" data-end=""278"">
<p data-start=""186"" data-end=""278""><strong data-start=""186"" data-end=""210"">Sturdy Safety Frame:</strong> Provides strong support, making sitting and standing much easier.</p>
</li>
<li data-start=""279"" data-end=""374"">
<p data-start=""281"" data-end=""374""><strong data-start=""281"" data-end=""299"">Easy Cleaning:</strong> Comes with a large removable pail and splash-guard lid for hygienic use.</p>
</li>
<li data-start=""375"" data-end=""442"">
<p data-start=""377"" data-end=""442""><strong data-start=""377"" data-end=""400"">Tool-Free Assembly:</strong> Simple hand-assembly—no tools required.</p>
</li>
<li data-start=""443"" data-end=""548"">
<p data-start=""445"" data-end=""548""><strong data-start=""445"" data-end=""470"">Comfortable Mobility:</strong> 24"" rear wheels offer smooth movement and a comfortable sitting experience.</p>
</li>
<li>
<strong>PORTABLE POTTY SEAT WHERE YOU NEED IT</strong>- functions as a toilet seat riser with handles or easily positions by the bed, in the living room, or wherever is most convenient.</li>
<li>
<strong style=""font-size: 0.875rem;"">STURDY ADULT TOILET CHAIR WITH SAFETY FRAME </strong><span style=""font-size: 0.875rem;"">- makes getting up and sitting down a lot easier, giving you the stability, you deserve.</span>
</li>
<li>
<strong style=""font-size: 0.875rem;"">EASY CLEAN UP</strong><span style=""font-size: 0.875rem;"">- our steel commode has plenty of capacity with an easy to remove pail featuring a splash guard lid on top.</span>
</li>
<li>
<strong style=""font-size: 0.875rem;"">TOOL-FREE ASSEMBLY</strong><span style=""font-size: 0.875rem;"">- designed to be easily assembled by hand                                 24"" wheel can be easy to travel round ,provides excellent sitting experience.</span>
</li>
</ul>",AeonCare,Health & Beauty > Health Care > Mobility & Accessibility,Commode WheelChairs,"",true,Title,Default Title,,,,,,,,AC609U-PC,20000.0,shopify,1,continue,manual,6299.00,14999.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/CommodeWheelchair609UPCatlowestpriceinChennai.jpg?v=1743247624,1,Commode Wheelchair U cut seat - Powder Coated Foldable Wheelchair - AeonCare,false,Commode Wheelchair - Powder Coated Wheelchair at best price in Chennai,Are you looking for Commode Wheelchair? We have powder coated wheelchair at lowest price from Aeoncare located in Chennai. This commode chair is foldable comes with toilet pot which can be used as toilet chair too. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
commode-wheelchair-u-cut-seat-powder-coated-foldable-wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/Wheelchair_1_936d1ee1-33b4-42c6-968f-01f86ec108ed.jpg?v=1752748690,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commode-wheelchair-u-cut-seat-powder-coated-foldable-wheelchair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/Wheelchair_2_1fd379d9-3e75-4a81-ba77-5c8a55cf8e88.jpg?v=1752748690,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walking-frame-reciprocating-walker-foldable-aluminium-walker-with-height-adjustable,Walking Frame - Reciprocating Walker | Foldable Aluminium Walker with Height Adjustable,"<p class=""MsoListParagraphCxSpFirst""><span>1.      </span><span>Designed for safety and convenience, this walker features push-button mechanisms that may be operated by fingers, palms, or even the side of the hand</span></p>
<p class=""MsoListParagraphCxSpMiddle""><span>2.      </span><span>Quality Construction: Constructed from sturdy aluminium, this walker offers maximum strength while remaining lightweight</span></p>
<p class=""MsoListParagraphCxSpMiddle""><span>3.      </span><span>A vinyl contoured hand grip, and newly designed rear glide caps that allow the walker to slide smoothly over most surfaces</span></p>
<p class=""MsoListParagraphCxSpMiddle""><span>4.      </span><span>Safe &amp; Easy Operation: Each side of our medical walker operates independently to allow easy movement through narrow spaces and offer greater stability while standing superior comfort.</span></p>
<ul>
<li class=""MsoListParagraphCxSpMiddle"">
<span> </span><span>ALUMINUM FRAME</span>
</li>
<li class=""MsoListParagraphCxSpLast"">
<span> </span><span>HEIGHT ADJUSTABLE</span>
</li>
</ul>
<!---->",AeonCare,Health & Beauty > Health Care > Mobility & Accessibility > Walking Aids > Walkers,Walkers and Crutches,"",true,Title,Default Title,,,,,,,,AC913L,5000.0,shopify,1,deny,manual,1800.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/55-636x683.jpg?v=1743247623,1,Walking Frame - Reciprocating Walker | Foldable Aluminium Walker with Height Adjustable - AeonCare,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
electric-backrest-motorised-back-rest-for-home,Electric Backrest - Motorised Back Rest for Home AC565,"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li><span class=""a-list-item"">This Electric Back Rest comes with 6months Warranty.</span></li>
<li><span class=""a-list-item"">Electric Bed Back support allows the patient to sit up in bed independently eliminating their dependency on care giver’s. Its UNIQUE width adjustment features caters to people with different physical built. Intended to help patients who spend most time in bed and with limited body movement such elderly, disabled and post-operative patients.</span></li>
<li><span class=""a-list-item""><strong>HANDY REMOTE CONTROL:</strong> The remote control helps raise the back from 3 degrees to 60 degrees, making it easier for people to sit up, eat, read or rest. The Back lifter is designed to keep your spine in a neutral stress-free position. Adjustable to your preferred level supporting your neck and back. This unique bed backrest raiser is able to stop individual episodes of habitual snoring without reducing the subjective sleep quality.</span></li>
<li><span class=""a-list-item""><strong>PREMIUM STEEL FRAME</strong>: Carefully polished cold-rolled steel, thick and durable, with high strength and high wear resistance. Good performance, and at the same time has the beauty and long service life. Mattress Fixing straps prevent the mattress from slipping thus eliminating discomfort while sleeping or in sitting position.</span></li>
<li><span class=""a-list-item""><strong>COMFORTABLE AND CONVENIENT</strong>: It can be used on a single bed or 1/2 of a double bed, which is very suitable for the elderly, the disabled and those who have recovered from surgery or injuries. Its Light-weight foldable design makes storage easier and can be moved to different rooms at any point of time.</span></li>
<li><span class=""a-list-item""><strong>EASY INSTALLATION:</strong> The Electric Bed back support can be used directly on the original bed. The maximum user weight is 100 kgs. Maximum user width is 43 inches (1100 mm).</span></li>
</ul>
<!---->",AeonCare,Health & Beauty > Health Care > Mobility & Accessibility > Accessibility Furniture & Fixtures,Mobility and Rehabilitation,"",true,Title,Default Title,,,,,,,,AC565,25000.0,shopify,1,deny,manual,19499.00,40000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/MotorisedBackrestatlowestpriceinChennai.jpg?v=1743247621,1,Electric Backrest - Motorised Back Rest for Home - AeonCare,false,Electric Backrest - Motorised Back Rest for Home at lowest price in Chennai,AeonCare.in: Shop this Electric Back Rest comes with 6months Warranty. Electric Bed Back support allows the patient to sit up in bed independently eliminating their dependency on care giver’s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
electric-backrest-motorised-back-rest-for-home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/MotorisedBackrestatlowestpriceinIndia.jpg?v=1743247622,2,Electric Backrest - Motorised Back Rest for Home - AeonCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric-backrest-motorised-back-rest-for-home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/35inch_2.png?v=1769087222,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorized-electric-semi-fowler-cot-with-castor-wheels-head-adjustable-side-railing-iv-stand-copy,"Motorized (Electric) Semi Fowler Cot with Castor Wheels, Side Railing, & IV Stand  AC469","<p class=""MsoNormal""><b><u><span>Specification</span></u></b></p>
<ul>
<li class=""MsoNormal""><span>Material: Mild steel</span></li>
<li class=""MsoListParagraphCxSpFirst""><span>Dimensions: Width: 38″; Length: 80″; Height: 20″ Back  Lifting Angle : 0-75° Leg Lifting Angle : 0-45°</span></li>
<li class=""MsoListParagraphCxSpMiddle""><span>Patient’s Load Capacity: 230 – 250 Kgs</span></li>
<li class=""MsoListParagraphCxSpMiddle""><span>Tube Frame: Good quality mild steel frame with perforated sturdy sheet top.</span></li>
<li class=""MsoListParagraphCxSpMiddle""><span>Coating: PU powder coated Side Rails:</span></li>
<li class=""MsoListParagraphCxSpMiddle""><span>Aluminium Collapsible Side Rails</span></li>
<li>
<p class=""MsoListParagraphCxSpLast""><span>Castors: 5″ Imported castors with brake on all 4 wheels</span></p>
</li>
</ul>
<p> </p>
<p><span>This Motorised Fowler Bed is also known as Electric Hospital fowler cot it comes with Castor Wheels, Head Adjustable (lifting up and down manually), Side Railing for safety, &amp; IV Stand is a versatile and comfortable bed that is perfect for home healthcare, hospitals, and other healthcare settings. The bed has a headrest that can be adjusted to a variety of positions, including a full Fowler's position, which is ideal for patients who need to be elevated. The bed also has a side rail that can be raised or lowered to provide safety and security for patients. The IV stand is attached to the bed and provides a convenient place to store and hang IV bags.</span></p>
<p><strong>Features of Double Fowler Bed:</strong></p>
<ul>
<li>This manual fowler bed has Headrest that can be adjusted to a variety of positions</li>
<li>It has side rail that can be raised or lowered</li>
<li>IV stand attached to the bed</li>
<li>Durable construction</li>
<li>Easy to use</li>
</ul>
<p><strong>Benefits of Double Fowler Cot for Home:</strong></p>
<ul>
<li>Provides comfort and support for patients</li>
<li>Promotes safety and security for patients</li>
<li>Makes it easy to administer IV therapy</li>
<li>Is durable and long-lasting</li>
<li>Is easy to use</li>
</ul>
<div class=""maincols clearfix"">
<div class=""container content-details"">
<div class=""row"">
<div id=""content"" class=""col-sm-12"">
<div class=""content-products"">
<div class=""tab-v88 text-center"">
<div class=""tab-content text-left"">
<div class=""tab-pane active"" id=""tab-description"">
<ul>
<li>
<p class=""MsoListParagraphCxSpLast""> </p>
</li>
</ul>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<footer id=""footer"">
<div class=""footer-top"" id=""pavo-footer-top"">
<div class=""container"">
<div class=""pav-newsletter"" id=""newsletter_68591721""><form id=""formNewLestter"" method=""post"" action=""https://www.kmeexp.com/index.php?route=extension/module/pavnewsletter/subscribe"" class=""formNewLestter clearfix""></form></div>
</div>
</div>
</footer>
<p><strong>We provide installation support across Chennai. Order your Fowler Bed today!!!</strong></p>",AeonCare,Furniture > Beds & Accessories > Beds & Bed Frames > Cot Beds & Bed Frames,Beds and Cots,"",true,Options,Without Mattress,,,,,,,,AC469,23000.0,shopify,2,continue,manual,38900.00,55000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/KW-469-1-1.png?v=1766397121,1,"",false,Order now the motorised fowler bed with Castor Wheels for lowest price in Chennai,"This electric Fowler Bed is also known as Hospital fowler cot it comes with Castor Wheels, Head Adjustable (lifting up and down manually), Side Railing for safety, & IV Stand. We provide installation support across Chennai. Order your Fowler Bed today!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
motorized-electric-semi-fowler-cot-with-castor-wheels-head-adjustable-side-railing-iv-stand-copy,,,,,,,,,With 3-inch Mattress,,,,,,,,AC469/701-3,24000.0,shopify,2,continue,manual,41999.00,55000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/Fowlerbedinstallationatyourdoorstepinchennai_b11ca897-1b0f-4d5e-a9e5-56a6fc9b151b.jpg?v=1766397121,2,Electric/Motorized Fowler Cot - 3 Function Fowler Cot - AeonCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
motorized-electric-semi-fowler-cot-with-castor-wheels-head-adjustable-side-railing-iv-stand-copy,,,,,,,,,With 4-inch Mattress,,,,,,,,AC469/701-4,24000.0,shopify,2,continue,manual,42999.00,55000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/HospitalSemiFowlercotbedheadandfootrest_525f7dff-6e6a-45a4-a854-f17b461fe847.jpg?v=1766397121,3,Electric/Motorized Fowler Cot - 3 Function Fowler Cot - AeonCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
motorized-electric-semi-fowler-cot-with-castor-wheels-head-adjustable-side-railing-iv-stand-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/SemiFowlerbedwithsiderailingsatlowpriceinChennai_e775d837-c03e-454b-9ff7-6475a0c88fd3.jpg?v=1766397121,4,Electric/Motorized Fowler Cot - 3 Function Fowler Cot - AeonCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motorized-electric-semi-fowler-cot-with-castor-wheels-head-adjustable-side-railing-iv-stand-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/IVstandformanualhospitalbedinChennai_50aa3d53-5408-40bf-bcdd-267eb9e580a9.jpg?v=1766397121,5,Electric/Motorized Fowler Cot - 3 Function Fowler Cot - AeonCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-fowler-bed-with-castor-wheels-head-adjustable-side-railing-iv-stand,"Double Fowler Bed with Castor Wheels, Side Railing, & IV Stand AC475","<p class=""MsoNormal""><b><u><span>Specification:</span></u></b></p>
<p class=""MsoNormal""><b><u><span>Material: Mild steel</span></u></b></p>
<ul>
<li class=""MsoListParagraphCxSpFirst""><span>Dimensions: Width: 36""; Length: 77""; Height: 20""</span></li>
<li class=""MsoListParagraphCxSpMiddle""><span>User's Load Capacity: 100-120 Kgs</span></li>
<li class=""MsoListParagraphCxSpMiddle""><span>Tube Frame: Good quality mild steel frame with perforated sturdy sheet top.</span></li>
<li class=""MsoListParagraphCxSpMiddle""><span>Coating: PU powder coated</span></li>
<li class=""MsoListParagraphCxSpMiddle""><span>Side Rails: Aluminium Collapsible Side Rails</span></li>
<li class=""MsoListParagraphCxSpLast""><span>Premium Boards: Detachable ABS Head &amp; Foot Boards</span></li>
<li class=""MsoListParagraphCxSpLast""><span>Castors: 5"" Imported castors with brake on all 4 wheels </span></li>
</ul>
<p><span>This Double Fowler Bed is also known as Hospital fowler bed it comes with Castor Wheels, Head Adjustable (lifting up and down manually), Side Railing for safety, &amp; IV Stand is a versatile and comfortable bed that is perfect for home healthcare, hospitals, and other healthcare settings. The bed has a headrest that can be adjusted to a variety of positions, including a full Fowler's position, which is ideal for patients who need to be elevated. The bed also has a side rail that can be raised or lowered to provide safety and security for patients. The IV stand is attached to the bed and provides a convenient place to store and hang IV bags.</span></p>
<p><strong>Features of Double Fowler Bed:</strong></p>
<ul>
<li>This manual fowler bed has Headrest that can be adjusted to a variety of positions</li>
<li>It has side rail that can be raised or lowered</li>
<li>IV stand attached to the bed</li>
<li>Durable construction</li>
<li>Easy to use</li>
</ul>
<p><strong>Benefits of Double Fowler Cot for Home:</strong></p>
<ul>
<li>Provides comfort and support for patients</li>
<li>Promotes safety and security for patients</li>
<li>Makes it easy to administer IV therapy</li>
<li>Is durable and long-lasting</li>
<li>Is easy to use</li>
</ul>
<div class=""maincols clearfix"">
<div class=""container content-details"">
<div class=""row"">
<div class=""col-sm-12"" id=""content"">
<div class=""content-products"">
<div class=""tab-v88 text-center"">
<div class=""tab-content text-left""></div>
</div>
</div>
</div>
</div>
</div>
</div>
<footer id=""footer"">
<div id=""pavo-footer-top"" class=""footer-top"">
<div class=""container"">
<div id=""newsletter_68591721"" class=""pav-newsletter""><form class=""formNewLestter clearfix"" action=""https://www.kmeexp.com/index.php?route=extension/module/pavnewsletter/subscribe"" method=""post"" id=""formNewLestter""></form></div>
</div>
</div>
</footer>
<p><strong>We provide installation support across Chennai. Order your Fowler Bed today!!!</strong></p>",AeonCare,Furniture > Beds & Accessories > Beds & Bed Frames > Cot Beds & Bed Frames,Beds and Cots,"",true,Option,Without Mattress,,,,,,,,AC475,25000.0,shopify,2,continue,manual,18400.00,25000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/DoubleFowlercotatlowestpriceinChennai.jpg?v=1743247611,1,"Double Fowler Bed with Castor Wheels, Side Railing, & IV Stand - AeonCare",false,Order now the double fowler bed with Castor Wheels for lowest price in Chennai,"This Double Fowler Bed is also known as Hospital fowler bed it comes with Castor Wheels, Head Adjustable (lifting up and down manually), Side Railing for safety, & IV Stand. We provide installation support across Chennai. Order your Fowler Bed today!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
double-fowler-bed-with-castor-wheels-head-adjustable-side-railing-iv-stand,,,,,,,,,With 3Inch Mattress,,,,,,,,AC475-703-3,25000.0,shopify,1,continue,manual,21990.00,25000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/35inch_75.jpg?v=1765526108,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
double-fowler-bed-with-castor-wheels-head-adjustable-side-railing-iv-stand,,,,,,,,,With 4Inch Mattress,,,,,,,,AC475-703-4,25000.0,shopify,-1,continue,manual,23499.00,25000.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0291/4949/5374/files/Gemini_Generated_Image_in3yryin3yryin3y.png?v=1765526108,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
double-fowler-bed-with-castor-wheels-head-adjustable-side-railing-iv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/Fowlerbedinstallationatyourdoorstepinchennai_b11ca897-1b0f-4d5e-a9e5-56a6fc9b151b.jpg?v=1766397121,4,Electric/Motorized Fowler Cot - 3 Function Fowler Cot - AeonCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-fowler-bed-with-castor-wheels-head-adjustable-side-railing-iv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/HospitalSemiFowlercotbedheadandfootrest_525f7dff-6e6a-45a4-a854-f17b461fe847.jpg?v=1766397121,5,Electric/Motorized Fowler Cot - 3 Function Fowler Cot - AeonCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-fowler-bed-with-castor-wheels-head-adjustable-side-railing-iv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/SemiFowlerbedwithsiderailingsatlowpriceinChennai_e775d837-c03e-454b-9ff7-6475a0c88fd3.jpg?v=1766397121,6,Electric/Motorized Fowler Cot - 3 Function Fowler Cot - AeonCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-fowler-bed-with-castor-wheels-head-adjustable-side-railing-iv-stand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/4949/5374/files/IVstandformanualhospitalbedinChennai_50aa3d53-5408-40bf-bcdd-267eb9e580a9.jpg?v=1766397121,7,Electric/Motorized Fowler Cot - 3 Function Fowler Cot - AeonCare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
